fecha_registro;probalidad_lluvia;precipitacion;fecha_pronostico
2022-07-03;0,05;0,0;2022-07-03
2022-07-03;0,01;0,0;2022-07-04
2022-07-03;0,01;0,0;2022-07-05
2022-07-03;0,92;13,1;2022-07-06
2022-07-03;0,0;0,0;2022-07-07
2022-07-03;0,01;0,0;2022-07-08
2022-07-03;0,57;0,7;2022-07-09
2022-07-03;0,59;3,0;2022-07-10
2022-07-03;0,76;15,5;2022-07-11
2022-07-03;0,61;5,0;2022-07-12
2022-07-03;0,75;9,7;2022-07-13
2022-07-03;0,01;0,0;2022-07-14
2022-07-03;0,0;0,0;2022-07-15
2022-07-03;0,2;0,0;2022-07-16
2022-07-03;0,1;0,0;2022-07-17
2022-07-03;0,7;3,0;2022-07-18
2022-07-03;0,1;0,0;2022-07-19
2022-07-03;0,25;0,0;2022-07-20
2022-07-03;0,2;0,0;2022-07-21
2022-07-03;0,25;0,0;2022-07-22
2022-07-03;0,25;0,0;2022-07-23
2022-07-03;0,25;0,0;2022-07-24
2022-07-03;0,2;0,0;2022-07-25
2022-07-03;0,25;0,0;2022-07-26
2022-07-03;0,2;0,0;2022-07-27
2022-07-03;0,1;0,0;2022-07-28
2022-07-03;0,1;0,0;2022-07-29
2022-07-03;0,1;0,0;2022-07-30
2022-07-03;0,56;2,6;2022-07-31
2022-07-03;0,55;2,2;2022-08-01
2022-07-03;0,01;0,0;2022-08-02
2022-07-03;0,74;6,3;2022-08-03
2022-07-03;0,03;0,0;2022-08-04
2022-07-03;0,0;0,0;2022-08-05
2022-07-03;0,56;0,7;2022-08-06
2022-07-03;0,01;0,0;2022-08-07
2022-07-03;0,0;0,0;2022-08-08
2022-07-03;0,0;0,0;2022-08-09
2022-07-03;0,0;0,0;2022-08-10
2022-07-03;0,0;0,0;2022-08-11
2022-07-03;0,0;0,0;2022-08-12
2022-07-03;0,0;0,0;2022-08-13
2022-07-03;0,0;0,0;2022-08-14
2022-07-03;0,0;0,0;2022-08-15
2022-07-03;0,01;0,0;2022-08-16
2022-07-03;0,0;0,0;2022-08-17
2022-07-03;0,0;0,0;2022-08-18
2022-07-03;0,0;0,0;2022-08-19
2022-07-03;0,0;0,0;2022-08-20
2022-07-03;0,0;0,0;2022-08-21
2022-07-03;0,4;0,5;2022-08-22
2022-07-03;0,0;0,0;2022-08-23
2022-07-03;0,0;0,0;2022-08-24
2022-07-03;0,59;2,9;2022-08-25
2022-07-03;0,57;1,0;2022-08-26
2022-07-03;0,0;0,0;2022-08-27
2022-07-03;0,0;0,0;2022-08-28
2022-07-03;0,0;0,0;2022-08-29
2022-07-03;0,0;0,0;2022-08-30
2022-07-03;0,01;0,0;2022-08-31
2022-07-03;0,02;0,0;2022-09-01
2022-07-03;0,01;0,0;2022-09-02
2022-07-03;0,0;0,0;2022-09-03
2022-07-03;0,29;0,0;2022-09-04
2022-07-03;0,03;0,0;2022-09-05
2022-07-03;0,01;0,0;2022-09-06
2022-07-03;0,01;0,0;2022-09-07
2022-07-03;0,55;0,4;2022-09-08
2022-07-03;0,62;5,6;2022-09-09
2022-07-03;0,69;2,6;2022-09-10
2022-07-03;0,29;0,0;2022-09-11
2022-07-03;0,01;0,0;2022-09-12
2022-07-03;0,01;0,0;2022-09-13
2022-07-03;0,0;0,0;2022-09-14
2022-07-03;0,0;0,0;2022-09-15
2022-07-03;0,7;3,0;2022-09-16
2022-07-03;0,68;2,9;2022-09-17
2022-07-03;0,7;2,9;2022-09-18
2022-07-03;0,06;0,0;2022-09-19
2022-07-03;0,56;1,8;2022-09-20
2022-07-03;0,04;0,0;2022-09-21
2022-07-03;0,0;0,0;2022-09-22
2022-07-03;0,0;0,0;2022-09-23
2022-07-03;0,02;0,0;2022-09-24
2022-07-03;0,02;0,0;2022-09-25
2022-07-03;0,01;0,0;2022-09-26
2022-07-03;0,6;1,1;2022-09-27
2022-07-03;0,42;0,3;2022-09-28
2022-07-03;0,59;3,2;2022-09-29
2022-07-03;0,65;2,2;2022-09-30
