fecha_registro;probalidad_lluvia;precipitacion;fecha_pronostico
2022-06-03;0,97;10,9;2022-06-03
2022-06-03;0,14;0,0;2022-06-04
2022-06-03;0,05;0,0;2022-06-05
2022-06-03;0,01;0,0;2022-06-06
2022-06-03;0,01;0,0;2022-06-07
2022-06-03;0,0;0,0;2022-06-08
2022-06-03;0,0;0,0;2022-06-09
2022-06-03;0,0;0,0;2022-06-10
2022-06-03;0,0;0,0;2022-06-11
2022-06-03;0,0;0,0;2022-06-12
2022-06-03;0,05;0,0;2022-06-13
2022-06-03;0,22;0,0;2022-06-14
2022-06-03;0,94;12,0;2022-06-15
2022-06-03;0,25;0,0;2022-06-16
2022-06-03;0,25;0,0;2022-06-17
2022-06-03;0,2;0,0;2022-06-18
2022-06-03;0,25;0,0;2022-06-19
2022-06-03;0,55;0,5;2022-06-20
2022-06-03;0,25;0,0;2022-06-21
2022-06-03;0,25;0,0;2022-06-22
2022-06-03;0,91;8,1;2022-06-23
2022-06-03;0,2;0,0;2022-06-24
2022-06-03;0,05;0,0;2022-06-25
2022-06-03;0,05;0,0;2022-06-26
2022-06-03;0,25;0,0;2022-06-27
2022-06-03;0,25;0,0;2022-06-28
2022-06-03;0,2;0,0;2022-06-29
2022-06-03;0,0;0,0;2022-06-30
2022-06-03;0,0;0,0;2022-07-01
2022-06-03;0,0;0,0;2022-07-02
2022-06-03;0,0;0,0;2022-07-03
2022-06-03;0,0;0,0;2022-07-04
2022-06-03;0,0;0,0;2022-07-05
2022-06-03;0,0;0,0;2022-07-06
2022-06-03;0,0;0,0;2022-07-07
2022-06-03;0,0;0,0;2022-07-08
2022-06-03;0,0;0,0;2022-07-09
2022-06-03;0,67;2,1;2022-07-10
2022-06-03;0,0;0,0;2022-07-11
2022-06-03;0,0;0,0;2022-07-12
2022-06-03;0,0;0,0;2022-07-13
2022-06-03;0,0;0,0;2022-07-14
2022-06-03;0,0;0,0;2022-07-15
2022-06-03;0,0;0,0;2022-07-16
2022-06-03;0,0;0,0;2022-07-17
2022-06-03;0,0;0,0;2022-07-18
2022-06-03;0,0;0,0;2022-07-19
2022-06-03;0,25;0,0;2022-07-20
2022-06-03;0,0;0,0;2022-07-21
2022-06-03;0,0;0,0;2022-07-22
2022-06-03;0,0;0,0;2022-07-23
2022-06-03;0,01;0,0;2022-07-24
2022-06-03;0,69;2,4;2022-07-25
2022-06-03;0,0;0,0;2022-07-26
2022-06-03;0,02;0,0;2022-07-27
2022-06-03;0,88;6,7;2022-07-28
2022-06-03;0,25;0,0;2022-07-29
2022-06-03;0,56;0,7;2022-07-30
2022-06-03;0,0;0,0;2022-07-31
2022-06-03;0,0;0,0;2022-08-01
2022-06-03;0,0;0,0;2022-08-02
2022-06-03;0,0;0,0;2022-08-03
2022-06-03;0,05;0,0;2022-08-04
2022-06-03;0,0;0,0;2022-08-05
2022-06-03;0,0;0,0;2022-08-06
2022-06-03;0,0;0,0;2022-08-07
2022-06-03;0,0;0,0;2022-08-08
2022-06-03;0,25;0,0;2022-08-09
2022-06-03;0,62;1,4;2022-08-10
2022-06-03;0,89;4,8;2022-08-11
2022-06-03;0,88;5,5;2022-08-12
2022-06-03;0,6;1,4;2022-08-13
2022-06-03;0,01;0,0;2022-08-14
2022-06-03;0,0;0,0;2022-08-15
2022-06-03;0,01;0,0;2022-08-16
2022-06-03;0,02;0,0;2022-08-17
2022-06-03;0,88;5,3;2022-08-18
2022-06-03;0,41;1,9;2022-08-19
2022-06-03;0,02;0,0;2022-08-20
2022-06-03;0,0;0,0;2022-08-21
2022-06-03;0,0;0,0;2022-08-22
2022-06-03;0,0;0,0;2022-08-23
2022-06-03;0,0;0,0;2022-08-24
2022-06-03;0,0;0,0;2022-08-25
2022-06-03;0,0;0,0;2022-08-26
2022-06-03;0,0;0,0;2022-08-27
2022-06-03;0,0;0,0;2022-08-28
2022-06-03;0,0;0,0;2022-08-29
2022-06-03;0,64;2,3;2022-08-30
2022-06-03;0,06;0,0;2022-08-31
